Customer ID,Customer Name,Region,Age Group,Gender,Customer Join Date,Last Purchase Date,Total Orders,Total Purchase Amount,Average Order Value,Product Category Preference,Loyalty Status,Customer Segment,Recency Score,Frequency Score,Monetary Score
C062,Vivaan Patel,East,60+,M,22-03-2024,06-11-2025,8,54488,6811,Clothing,Bronze,To be calculated,,,
C063,Aditya Patel,East,18-25,M,18-09-2023,16-07-2024,46,351624,7644,Grocery,Gold,To be calculated,,,
C064,Vihaan Patel,East,18-25,F,05-07-2024,19-12-2024,24,181584,7566,Home,Silver,To be calculated,,,
C065,Arjun Patel,East,36-45,F,30-09-2024,18-04-2025,43,109263,2541,Grocery,Silver,To be calculated,,,
C066,Sai Patel,East,36-45,M,13-11-2023,24-07-2025,21,148932,7092,Grocery,Silver,To be calculated,,,
C067,Reyansh Patel,East,26-35,F,11-05-2023,14-12-2024,27,181197,6711,Grocery,Silver,To be calculated,,,
C068,Krishna Patel,East,18-25,M,05-08-2024,05-04-2025,26,246402,9477,Home,Gold,To be calculated,,,
C069,Ishaan Patel,East,46-60,F,21-10-2023,02-01-2025,28,161812,5779,Beauty,Silver,To be calculated,,,
C070,Shaurya Patel,East,26-35,M,28-03-2024,05-01-2025,33,272316,8252,Electronics,Gold,To be calculated,,,
C071,Ananya Patel,East,18-25,M,18-10-2023,10-11-2025,43,257613,5991,Clothing,Gold,To be calculated,,,
C072,Aadhya Patel,East,26-35,F,19-11-2024,14-04-2025,15,56430,3762,Electronics,Bronze,To be calculated,,,
C073,Diya Patel,East,46-60,F,17-02-2023,06-02-2025,31,52483,1693,Beauty,Bronze,To be calculated,,,
C074,Myra Patel,East,46-60,F,06-10-2024,17-12-2024,46,312386,6791,Beauty,Gold,To be calculated,,,
C075,Anika Patel,East,18-25,F,07-09-2023,30-10-2024,42,24780,590,Beauty,None,To be calculated,,,
C076,Sara Patel,East,46-60,F,13-08-2023,28-11-2024,45,404370,8986,Electronics,Gold,To be calculated,,,
C077,Kavya Patel,East,26-35,M,24-07-2024,11-02-2025,8,63824,7978,Beauty,Bronze,To be calculated,,,
C078,Riya Patel,East,46-60,F,14-11-2024,26-11-2025,36,205128,5698,Grocery,Gold,To be calculated,,,
C079,Ira Patel,East,26-35,F,31-05-2024,11-08-2025,36,280980,7805,Beauty,Gold,To be calculated,,,
C080,Meera Patel,East,36-45,F,05-04-2024,21-02-2025,49,222950,4550,Grocery,Gold,To be calculated,,,
C081,Aarav Reddy,West,18-25,F,11-05-2024,31-01-2025,18,138708,7706,Home,Silver,To be calculated,,,
C082,Vivaan Reddy,West,60+,M,29-08-2023,06-03-2025,22,126236,5738,Electronics,Silver,To be calculated,,,
C083,Aditya Reddy,West,26-35,M,22-05-2023,02-11-2024,15,101625,6775,Clothing,Silver,To be calculated,,,
C084,Vihaan Reddy,West,60+,F,07-03-2023,30-07-2025,27,159867,5921,Beauty,Silver,To be calculated,,,
C085,Arjun Reddy,West,46-60,F,01-03-2024,03-08-2024,14,103362,7383,Grocery,Silver,To be calculated,,,
C086,Sai Reddy,West,46-60,M,13-12-2024,14-12-2024,49,486668,9932,Beauty,Gold,To be calculated,,,
C087,Reyansh Reddy,West,46-60,F,07-01-2023,27-05-2025,20,137780,6889,Grocery,Silver,To be calculated,,,
C088,Krishna Reddy,West,36-45,F,13-07-2024,12-01-2025,32,131040,4095,Beauty,Silver,To be calculated,,,
C089,Ishaan Reddy,West,46-60,M,12-05-2024,30-06-2024,25,150175,6007,Clothing,Silver,To be calculated,,,
C090,Shaurya Reddy,West,18-25,F,23-04-2024,09-10-2024,40,370040,9251,Beauty,Gold,To be calculated,,,
C091,Ananya Reddy,West,18-25,F,29-08-2024,30-12-2025,43,40592,944,Beauty,None,To be calculated,,,
C092,Aadhya Reddy,West,36-45,M,19-05-2023,16-09-2025,12,15876,1323,Beauty,None,To be calculated,,,
C093,Diya Reddy,West,36-45,M,02-12-2023,03-01-2025,30,175650,5855,Beauty,Silver,To be calculated,,,
C094,Myra Reddy,West,46-60,M,12-10-2023,06-08-2025,17,31297,1841,Electronics,None,To be calculated,,,
C095,Anika Reddy,West,18-25,M,06-07-2024,24-07-2024,23,95979,4173,Electronics,Bronze,To be calculated,,,
C096,Sara Reddy,West,60+,M,01-02-2023,09-02-2025,13,10829,833,Clothing,None,To be calculated,,,
C097,Kavya Reddy,West,60+,F,02-09-2023,08-10-2024,31,73594,2374,Clothing,Bronze,To be calculated,,,
C098,Riya Reddy,West,26-35,M,21-04-2024,18-02-2025,50,327150,6543,Grocery,Gold,To be calculated,,,
C099,Ira Reddy,West,36-45,M,13-09-2024,26-09-2024,50,159150,3183,Electronics,Silver,To be calculated,,,
C100,Meera Reddy,West,46-60,F,15-08-2024,16-08-2024,20,198660,9933,Beauty,Silver,To be calculated,,,
